,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
579,14246488.0,https://www.airbnb.com/rooms/14246488,20240900000000.0,18/09/2024,city scrape,"Big rooms for rent,near center","Big room for rent, erasmus, international students and young professionals,   welcome. Internet wifi, 2 toilets and big kitchen. Perfect location for students, near the city center, the university of Valencia and politecnico. Minimun stays 5 to 10 moths. Once you are here we discuss the price depending on the room , for long stays.",,https://a0.muscache.com/pictures/fa924bab-ab4c-4996-84c5-49956782552c.jpg,18966308,https://www.airbnb.com/users/show/18966308,Rafa,,"Valencia, Spain","Mi gran pasiÃ³n son los viajes .Conozco bien Valencia ciudad y sus alrededores, las mejores playas, y lugares en la montaÃ±a, pequeÃ±os pueblos o rutas de senderismo o bicicleta.",within a day,68%,44%,f,https://a0.muscache.com/im/pictures/user/c4eec1b0-aca7-4e90-8b8e-6e343f93560f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c4eec1b0-aca7-4e90-8b8e-6e343f93560f.jpg?aki_policy=profile_x_medium,Pla del Real,6,10,"['email', 'phone']",t,t,,MESTALLA,EL PLA DEL REAL,39.47327,-0.35471,Private room in rental unit,Private room,2,2.0,2 shared baths,1.0,1.0,"[""Host greets you"", ""Iron"", ""Kitchen"", ""Lock on bedroom door"", ""Free street parking"", ""Essentials"", ""Dedicated workspace"", ""Fire extinguisher"", ""Wifi"", ""Hot water"", ""Paid parking off premises"", ""TV"", ""Smoke alarm"", ""Elevator"", ""Washer"", ""Hangers"", ""Hair dryer"", ""Paid parking on premises"", ""Cooking basics"", ""Free parking on premises"", ""Shampoo""]",$28.00,4,60,4,4,60,60,4.0,60.0,,t,6,36,66,112,18/09/2024,6,2,1,02/08/2016,01/09/2024,3.83,4.0,2.83,4.67,4.5,4.5,3.67,,f,6,0,6,0,0.06
2104,40064538.0,https://www.airbnb.com/rooms/40064538,20240900000000.0,18/09/2024,previous scrape,Coroa del Mar. Apartamento Duplex 5 pax+WIFI,la,,https://a0.muscache.com/pictures/80818470-42fc-4061-a739-53259889d927.jpg,308967204,https://www.airbnb.com/users/show/308967204,Coroa Gestion,2019-12-11,,,within an hour,91%,98%,f,https://a0.muscache.com/im/pictures/user/4f05bc33-7012-4d17-8b04-ffdb997b9e6e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4f05bc33-7012-4d17-8b04-ffdb997b9e6e.jpg?aki_policy=profile_x_medium,Extramurs,28,32,['phone'],t,t,,EL GRAU,POBLATS MARITIMS,39.45885,-0.33487,Entire rental unit,Entire home/apt,5,,1 bath,1.0,,"[""Iron"", ""Microwave"", ""Kitchen"", ""Dishwasher"", ""Air conditioning"", ""Bed linens"", ""Free street parking"", ""Self check-in"", ""Essentials"", ""Heating"", ""Fire extinguisher"", ""Wifi"", ""Pets allowed"", ""Extra pillows and blankets"", ""Paid parking off premises"", ""TV"", ""Elevator"", ""Exterior security cameras on property"", ""Washer"", ""Coffee maker"", ""Crib"", ""Refrigerator"", ""Hangers"", ""Hair dryer"", ""Oven"", ""Dishes and silverware"", ""Shampoo"", ""Lockbox""]",,1,1125,2,2,1125,1125,2.0,1125.0,,t,2,2,2,2,18/09/2024,10,1,0,01/01/2020,17/03/2024,3.4,3.6,2.7,4.5,4.4,4.0,3.0,,t,24,23,1,0,0.17
2643,50019964.0,https://www.airbnb.com/rooms/50019964,20240900000000.0,18/09/2024,city scrape,Leones flat Â· Blue marine Leones apartment,"Nice and modern apartment, with 3 double bedrooms, and 1 complete bathroom with shower. It has a great terrace to sit outside and enjoy the lovely weather from valencia. Well located near the malvarrrosa beach, with all services nearby, supermarkets, shops, grocery, bakery, public transport. Up to 6 people to stay in comfortably",,https://a0.muscache.com/pictures/prohost-api/Hosting-50019964/original/4763b104-0958-4dab-8574-3f303efe8cad.jpeg,12044109,https://www.airbnb.com/users/show/12044109,Invalencia Flats,2014-08-02,"Valencian Community, Spain","Hi, we are Invalencia Flats company, discover our temporary rental apartments located in the best places in the city and surrounding areas.
We have over 8 years of experience in the tourism and real estate sector in Valencia. Administration, sale and rental of properties.
Valencia is one of the most important cities in Spain, known as the city of oranges and also famous for Las Fallas, paella, the beach and sports. 
Thank you for booking with us!",within an hour,94%,99%,f,https://a0.muscache.com/im/pictures/user/User-12044109/original/6b741a88-5654-4494-9bf0-ca43cb0ed742.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-12044109/original/6b741a88-5654-4494-9bf0-ca43cb0ed742.jpeg?aki_policy=profile_x_medium,Ciutat Vella,45,78,"['email', 'phone', 'work_email']",t,t,,AIORA,CAMINS AL GRAU,39.46542,-0.34939,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,4.0,"[""Iron"", ""Microwave"", ""Cleaning available during stay"", ""Kitchen"", ""Coffee"", ""Laundromat nearby"", ""Private patio or balcony"", ""Air conditioning"", ""Bed linens"", ""Portable fans"", ""Self check-in"", ""Paid clamp on table seat high chair - available upon request"", ""Essentials"", ""Dedicated workspace"", ""Body soap"", ""Wifi"", ""Coffee maker: Nespresso"", ""Clothing storage: closet"", ""Hot water kettle"", ""Hot water"", ""Freezer"", ""Shampoo"", ""Outdoor furniture"", ""TV"", ""Electric stove"", ""Wine glasses"", ""Elevator"", ""Heating - split type ductless system"", ""Washer"", ""Shower gel"", ""Crib"", ""Refrigerator"", ""Hangers"", ""Hair dryer"", ""Oven"", ""Cooking basics"", ""Private entrance"", ""Dishes and silverware"", ""Dining table"", ""Drying rack for clothing"", ""Lockbox""]",$205.00,1,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,230,18/09/2024,3,2,0,07/04/2023,11/07/2024,3.67,4.33,2.67,4.33,4.0,4.33,4.0,,f,28,28,0,0,0.17
4465,8.42556e+17,https://www.airbnb.com/rooms/842556421830583485,20240900000000.0,18/09/2024,city scrape,UbicaciÃ³n excelente en pleno centro de Valencia,"The apartment is located in the center of Valencia, near the North train station they also have both metro and bus stop.<br />This suite has 4 bedrooms for up to 7 people and 2 bathrooms there is also an indoor patio. The house is on the first floor, so its accessÂ isÂ veryÂ comfortable. The kitchen is equipped with everything you need for use, microwave, gas stove, refrigerator, washing machine, etc. In front of the apartment you have a supermarket.","The apartment is located in the center of Valencia, just 5 minutes walk from the train station of the North. Near the house it has both metro and bus stop to get around the city.<br />It is also next to the  Chinatown, where they have a great variety of Asian restaurants where you can taste traditional dishes.",https://a0.muscache.com/pictures/miso/Hosting-842556421830583485/original/09860ce2-e5a3-4adc-b25a-6b152dbb09ab.jpeg,504431469,https://www.airbnb.com/users/show/504431469,Jordi,2023-08-03,"Valencia, Spain","Hola !  Me llamo Jordi  , espero que puedas tener la oportunidad algÃºn dÃ­a de conocer una ciudad tan maravillosa como Valencia!",a few days or more,0%,0%,f,https://a0.muscache.com/im/pictures/user/78b7818a-ffc4-40c4-97c4-db8194641796.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78b7818a-ffc4-40c4-97c4-db8194641796.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"ValÃ¨ncia, Comunidad Valenciana, Spain",LA ROQUETA,EXTRAMURS,39.4668317,-0.3791963,Entire rental unit,Entire home/apt,7,2.0,2 baths,4.0,4.0,"[""Host greets you"", ""BOSCH refrigerator"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""Rice maker"", ""Private patio or balcony"", ""Air conditioning"", ""Paid parking garage off premises"", ""Essentials"", ""Wifi"", ""Shared beach access"", ""Clothing storage: closet"", ""Freezer"", ""Hot water"", ""Ethernet connection"", ""Room-darkening shades"", ""Washer"", ""First aid kit"", ""Hangers"", ""Cooking basics"", ""Dishes and silverware"", ""Dining table"", ""Drying rack for clothing""]",$181.00,1,15,1,1,15,15,1.0,15.0,,t,24,51,78,348,18/09/2024,7,0,0,02/05/2023,03/09/2023,3.57,3.86,2.86,4.0,4.0,4.43,3.57,,f,1,1,0,0,0.42
5371,9.34066e+17,https://www.airbnb.com/rooms/934066017836522401,20240900000000.0,18/09/2024,city scrape,Casa 2 alturas Playa Malvarrosa,"Take the whole family to this fantastic home that has plenty of room with 5 rooms less than 100m from Malvarrosa Beach, with supermarket less than 80 meters away in a quiet area. Two bedrooms have a bed of 140, two others have a bed of 90 and the last one has a bed of 105. Spacious living room with patio and open full kitchen perfectly equipped. It has two full bathrooms and closets in all the rooms in addition to the entrance and hallway distributors",,https://a0.muscache.com/pictures/miso/Hosting-934066017836522401/original/6ea19153-6c43-4129-ab1d-6ff4a03fd79d.jpeg,525284141,https://www.airbnb.com/users/show/525284141,Jose Maria,2023-12-07,,,within a day,50%,100%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,"['email', 'phone']",f,t,,LA MALVA-ROSA,POBLATS MARITIMS,39.47915896,-0.32579311,Casa particular,Entire home/apt,8,2.0,2 baths,5.0,5.0,"[""TV"", ""Kitchen"", ""Smoking allowed"", ""Wifi"", ""Pets allowed"", ""Air conditioning"", ""Washer""]",$240.00,7,30,7,7,30,30,7.0,30.0,,t,0,0,0,247,18/09/2024,1,1,0,11/08/2024,11/08/2024,4.0,4.0,2.0,5.0,5.0,3.0,3.0,,f,1,1,0,0,0.77
6394,1.0578e+18,https://www.airbnb.com/rooms/1057802640161476303,20240900000000.0,18/09/2024,city scrape,Apartamento 3 L,"Apartment with a private bathroom, a flat-screen TV, and a kitchen with a kitchen.","Quiet and humble neighborhood, very well connected. Bus and metro stop a few meters from the accommodation portal. Direct line to the beach, no transfers. If you prefer you can go for a walk along the old riverbed since the old town is only 1.5 km away. It also has supermarkets, bars, restaurants, a large shopping centerâ¦and all sorts of establishments on the surrounding streets. Also, it has urban bike rental. Very well connected area with easy connection to the whole city.",https://a0.muscache.com/pictures/miso/Hosting-1057802640161476303/original/77b23fbd-befd-48c7-a408-1e1eedeaaf68.jpeg,553125168,https://www.airbnb.com/users/show/553125168,Eric,,,,within an hour,99%,96%,f,https://a0.muscache.com/im/pictures/user/602eccc4-fcd9-46a9-b5dd-757fc3e752df.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/602eccc4-fcd9-46a9-b5dd-757fc3e752df.jpg?aki_policy=profile_x_medium,,27,30,"['email', 'phone']",t,t,"ValÃ¨ncia, Comunidad Valenciana, Spain",BENICALAP,BENICALAP,39.49095697,-0.387386824,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Host greets you"", ""TV"", ""Refrigerator"", ""Kitchen"", ""Dedicated workspace"", ""Private hot tub"", ""Heating"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Air conditioning"", ""Dishes and silverware""]",$78.00,1,365,1,1,999,999,1.0,999.0,,t,25,51,79,254,18/09/2024,2,2,0,14/01/2024,20/04/2024,3.5,4.0,2.5,4.5,5.0,2.5,3.0,,t,27,27,0,0,0.24
6420,1.05986e+18,https://www.airbnb.com/rooms/1059861590556617196,20240900000000.0,18/09/2024,city scrape,Apartamento C-3 Mini piscina no climatizada,"Small accommodation in the Benicalap neighborhood, with all amenities on hand and 5.5 km from downtown.  The accommodation has a terrace, A/A, flat screen TV, private bathroom with shower, dryer, refrigerator, coffee maker...<br />Close to the Basilica de los Desamparados, Bioparc de Valencia and airport 12 km from the accommodation.","Quiet and humble neighborhood, very well connected. Bus and metro stop a few meters from the accommodation portal. Direct line to the beach, no transfers. If you prefer you can go for a walk along the old riverbed since the old town is only 1.5 km away. It also has supermarkets, bars, restaurants, a large shopping centerâ¦and all sorts of establishments on the surrounding streets. Also, it has urban bike rental. Very well connected area with easy connection to the whole city.",https://a0.muscache.com/pictures/miso/Hosting-1059861590556617196/original/859515a6-44dd-49a4-a670-108197163443.jpeg,553125168,https://www.airbnb.com/users/show/553125168,Eric,,,,within an hour,99%,96%,f,https://a0.muscache.com/im/pictures/user/602eccc4-fcd9-46a9-b5dd-757fc3e752df.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/602eccc4-fcd9-46a9-b5dd-757fc3e752df.jpg?aki_policy=profile_x_medium,,27,30,"['email', 'phone']",t,t,"Valencia, Comunidad Valenciana, Spain",BENICALAP,BENICALAP,39.4899613,-0.3874197,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Host greets you"", ""Crib"", ""TV"", ""Refrigerator"", ""Backyard"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Heating"", ""Wifi"", ""Air conditioning"", ""Dishes and silverware"", ""Pool"", ""Coffee maker""]",$86.00,1,365,1,1,999,999,1.0,999.0,,t,11,38,66,244,18/09/2024,2,2,0,26/05/2024,30/07/2024,3.5,4.0,2.5,2.5,4.5,4.0,2.5,,t,27,27,0,0,0.52
7561,1.1259e+18,https://www.airbnb.com/rooms/1125896207596011205,20240900000000.0,18/09/2024,city scrape,Pont de Fusta Apartments 15 Mid-term,Discover this spectacular studio for 4 people near the Pont de Fusta and the Serrano Towers,,https://a0.muscache.com/pictures/prohost-api/Hosting-1125896207596011205/original/9e5b8ea1-abca-40a7-bb0d-824b3ae70c26.jpeg,63053029,https://www.airbnb.com/users/show/63053029,MD Rentals,,"Valencia, Spain","Welcome, i will love to show you our singular apartments in the center of the City.  We are in love in love of our City Valencia (Spain). One of the things we like very much,  is sharing  with people from differente cities, countries and cultures travelling experiences and, of course, to show you how beautiful Valencia is.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/9ed565f3-03a6-4822-b29c-046aafe7b2a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9ed565f3-03a6-4822-b29c-046aafe7b2a8.jpg?aki_policy=profile_x_medium,Extramurs,70,79,"['email', 'phone', 'work_email']",t,t,,TRINITAT,LA SAIDIA,39.48469417,-0.370851226,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Iron"", ""Microwave"", ""Kitchen"", ""Smoking allowed"", ""Dishwasher"", ""Air conditioning"", ""Bed linens"", ""Essentials"", ""Dedicated workspace"", ""Patio or balcony"", ""Body soap"", ""Heating"", ""Wifi"", ""Hot water kettle"", ""Hot water"", ""Freezer"", ""Shampoo"", ""Paid parking off premises"", ""TV"", ""Dryer"", ""Smoke alarm"", ""Wine glasses"", ""Elevator"", ""Washer"", ""Coffee maker"", ""Shower gel"", ""Crib"", ""Refrigerator"", ""Hangers"", ""Hair dryer"", ""Oven"", ""Dishes and silverware"", ""Toaster"", ""Drying rack for clothing""]",$229.00,1,365,2,10,999,999,2.2,999.0,,t,29,57,85,354,18/09/2024,1,1,0,21/04/2024,21/04/2024,5.0,5.0,2.0,5.0,5.0,5.0,3.0,,t,67,66,1,0,0.2
8401,1.17878e+18,https://www.airbnb.com/rooms/1178782083467828367,20240900000000.0,18/09/2024,city scrape,NAP hostel,"Room capacity is 20ð§ââï¸ð§ââï¸ð§ââï¸ð§ââï¸ð§ââï¸ð§ââï¸. 10 bunk beds for 2 people each. You reserve 1 bed=1 person<br />Dormitory style and âï¸Attentionâï¸we are hostel -with shared dormitory with other people! You pay for 1 personð§ââï¸<br /><br />ð¸You receive ð, ð¡ and curtain inside your bed. We provide free locker size 60Ñ30Ñ50. But you need your own lockð or buy ours<br />ð¸We do not provide free towel. But you can buy from us for 5 ð¶<br /> <br />1 min to â32 ð and AragÃ³ ð <br />ðï¸10 min to beach on bus <br />5 to old town walking","Nap V has a convenient location and is close to the Arago metro station, as well as the bus stop for route 32.<br />Nearby is the Turia Park, as well as the Estadio Mestalla stadium.<br />The old city and attractions are within walking distance.<br />During your stay we provide a guide with places worth visiting",https://a0.muscache.com/pictures/miso/Hosting-1178778594194596050/original/207c6516-7e3d-49da-8424-10d3290bed1a.jpeg,583406812,https://www.airbnb.com/users/show/583406812,Alexei,,,,within an hour,57%,95%,f,https://a0.muscache.com/im/pictures/user/2154fa35-6761-43f5-b884-d089fb965524.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2154fa35-6761-43f5-b884-d089fb965524.jpg?aki_policy=profile_x_medium,,8,8,"['email', 'phone']",t,t,"ValÃ¨ncia, Comunidad Valenciana, Spain",MESTALLA,EL PLA DEL REAL,39.4717551,-0.3593293,Shared room in hotel,Shared room,1,1.0,1 shared bath,1.0,10.0,"[""Building staff"", ""Self check-in"", ""TV"", ""Hair dryer"", ""Dedicated workspace"", ""Laundromat nearby"", ""Courtyard view"", ""Heating"", ""Fire extinguisher"", ""Wifi"", ""Air conditioning""]",$36.00,1,365,1,1,1125,1125,1.0,1125.0,,t,29,59,89,364,18/09/2024,3,3,2,18/06/2024,27/08/2024,4.0,3.67,2.67,4.0,4.0,4.33,3.33,,t,8,0,0,8,0.97
8838,1.20457e+18,https://www.airbnb.com/rooms/1204572290733115334,20240900000000.0,19/09/2024,city scrape,Minisuite atardecer I centro ciudad I baÃ±o privado,"This Mini Suite is centrally located, unbeatable location. Great for short stays and saving time as it is very well connected . Dos camas singas viscoelÃ¡sticas, WIFI, air conditioning frio/heat. In suite bathroom with towel service on arrival, gel and shampoo. The mini suite is located on the third floor WITHOUT AN ELEVATOR. NEWLY RENOVATED. Tour the most popular shops and restaurants from this fascinating place to stay.",,https://a0.muscache.com/pictures/hosting/Hosting-1204572290733115334/original/c591c0f2-a972-46e1-b425-8c8e1e648e3c.jpeg,589941556,https://www.airbnb.com/users/show/589941556,Jorge Daniel,,"Valencia, Spain",somos una empresa joven con ganas de alojaros y que tengÃ¡is una buena experiencia de valencia,within an hour,99%,100%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,14,19,"['email', 'phone']",f,t,,EL MERCAT,CIUTAT VELLA,39.47387831,-0.378256406,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,2.0,"[""Long term stays allowed"", ""Air conditioning"", ""Bed linens"", ""Self check-in"", ""Essentials"", ""Body soap"", ""Heating"", ""Fire extinguisher"", ""Wifi"", ""Hot water kettle"", ""Hot water"", ""Room-darkening shades"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Clothing storage"", ""Hangers"", ""Keypad"", ""Shampoo""]",$68.00,1,365,1,1,365,365,1.0,365.0,,t,22,52,81,261,19/09/2024,2,2,0,04/08/2024,11/08/2024,3.5,3.5,2.5,4.0,5.0,5.0,2.5,,t,14,0,14,0,1.28
